,feature1,feature2,feature3,version
0,-3.1103995781904956,0.16587560596501252,-0.8094301194332626,6
1,-3.110399578190493,0.16587560596501336,-0.8094301194332629,6
2,-3.235342632700644,0.31653250914111253,-0.7239288412352953,6
3,-2.9554694052313772,0.2274150854636648,-0.7301982234635899,7
4,-2.955469405231377,0.227415085463666,-0.73019822346359,7
5,-2.496102790662883,-0.01198824945988859,1.3241778700439393,7
6,-2.355499872361452,-0.1037864738656095,1.4618770895542867,8
7,-2.4804429268716017,0.04687042931049024,1.5473783677522543,8
8,1.702401564151389,-1.357584307079396,-0.1575002855728099,9
9,1.5774585096412388,-1.2069274039032962,-0.07199900737484237,9
10,1.9822747916206565,-1.446701730756842,-0.16376966780110475,10
11,1.8573317371105058,-1.2960448275807426,-0.0782683896031372,10
12,2.983724879474847,1.6608751110755473,0.051659594559327685,11
13,2.8587818249646966,1.8115320142516471,0.13716087275729524,11
14,3.2773696061793927,0.1459294200529228,-0.1659217898839388,12
15,3.1524265516692416,0.2965863232290224,-0.08042051168597121,12
16,3.307356724628358,0.3581258027276758,-0.001188615716298453,13
0,-3.6858764517664424,-0.4322058306329627,0.5497490665630386,6
1,-3.6858764517664393,-0.43220583063296264,0.5497490665630376,6
2,-3.7047090481642777,-0.4157689784836382,0.5153565447389905,6
3,-3.045646565243736,-0.9313854881014684,-0.2809342149335259,7
4,-3.045646565243736,-0.9313854881014685,-0.28093421493352555,7
5,-2.3753291192377413,0.0027938861326873865,-1.0323807722613874,7
6,0.45893725984644124,1.4042992507556502,-0.31741132336588745,8
7,0.44010466344860233,1.4207361029049745,-0.3518038451899341,8
8,0.2815703251283952,1.6109797923811089,0.7051757499590711,9
9,0.26273772873055606,1.627416644530433,0.6707832281350244,9
10,1.1286921778181125,0.7256597283235983,-0.4104598281701927,10
11,1.1098595814202734,0.7420965804729228,-0.4448523499942394,10
12,2.8263608037717356,-0.8027561264005106,-0.38630978493905926,11
13,2.8075282073738963,-0.7863192742511861,-0.4207023067631056,11
14,2.9893520683725874,-0.8808617370351277,-0.35710043400785557,12
15,2.9705194719747476,-0.8644248848858032,-0.3914929558319022,12
16,4.267421913537023,-1.056668346976247,1.683568374431455,13
