,gcc-6,gcc-7,gcc-8,gcc-9,gcc-10,gcc-11,gcc-12,gcc-13
movl,704,704,704,686,688,688,695,695
leal,126,126,126,126,126,130,128,128
addl,66,66,66,66,64,60,62,62
popl,40,40,40,40,36,36,36,36
leave,9,9,9,9,11,11,11,11
movzbl,12,12,12,21,21,21,21,21
testb,30,30,30,21,21,21,21,21
je,28,28,28,19,19,19,19,19
xorl,4,4,4,0,0,0,0,0
cmpl,33,33,33,38,38,38,38,38
jle,15,15,12,12,12,17,17,17
jg,12,12,15,15,15,10,10,10
testl,4,4,4,8,8,8,8,8
text,1,1,2,2,2,2,2,2
js,2,2,2,2,2,0,0,0
L92,1,1,1,1,1,0,0,0
jne,2,2,2,11,11,11,11,11
L56,1,1,1,1,1,0,0,0
L63,1,1,1,1,1,0,0,0
jl,1,1,4,4,4,4,4,4
jge,3,3,0,0,0,0,0,0
L89,1,1,1,0,0,1,1,1
L93,1,1,1,0,0,1,1,1
L94,1,1,1,0,0,1,1,1
C,771,771,777,763,765,763,777,777
8,1490,1490,1491,1458,1445,1455,1484,1484
6,743,742,742,750,750,740,742,742
A,175,175,175,190,190,193,195,195
F,983,983,986,1004,1004,988,992,992
5,1147,1147,1144,1186,1171,1154,1164,1164
7,758,759,758,743,743,736,730,730
2,805,805,806,787,775,777,801,800
E,677,677,674,681,683,708,705,707
B,527,527,524,535,535,538,538,538
D,382,382,379,359,359,343,337,337
3,657,657,657,652,651,654,651,652
9,477,477,477,470,486,487,472,472
version,6,7,8,9,10,11,12,13
L90,0,0,0,1,1,1,1,1
L87,0,0,0,1,1,1,1,1
L91,0,0,0,1,1,1,1,1
jns,0,0,0,0,0,2,2,2
L52,0,0,0,0,0,1,1,1
L58,0,0,0,0,0,1,1,1
L95,0,0,0,0,0,1,1,1
