,feature1,feature2,feature3,version,predict
0,-3.110399578190493,0.16587560596501424,-0.8094301194332635,6,6
1,-3.110399578190495,0.1658756059650141,-0.8094301194332629,6,6
2,-3.235342632700646,0.3165325091411135,-0.7239288412352941,6,6
3,-2.9554694052313786,0.22741508546366762,-0.7301982234635918,7,7
4,-2.9554694052313786,0.22741508546366745,-0.7301982234635918,7,7
5,-2.4961027906628868,-0.011988249459891201,1.324177870043941,7,7
6,-2.3554998723614546,-0.10378647386561117,1.4618770895542852,8,8
7,-2.480442926871605,0.04687042931048843,1.5473783677522541,8,8
8,1.7024015641513899,-1.357584307079396,-0.15750028557280835,9,9
9,1.5774585096412392,-1.2069274039032962,-0.07199900737483948,9,9
10,1.9822747916206565,-1.4467017307568422,-0.16376966780110586,10,10
11,1.8573317371105063,-1.2960448275807426,-0.07826838960313702,10,10
12,2.9837248794748494,1.6608751110755473,0.051659594559331556,11,11
13,2.8587818249646992,1.811532014251647,0.1371608727573004,11,11
14,3.2773696061793944,0.14592942005292298,-0.1659217898839426,12,12
15,3.152426551669244,0.2965863232290226,-0.08042051168597376,12,12
16,3.3073567246283604,0.3581258027276763,-0.001188615716302402,13,13
